method,venue_year,arxiv_doi,family,benchmark,task_count,reported_MTL_ST_or_dm,single_forward_pass,per_task_backward,applicability_industreal,in_doc213
InvPT,ECCV 2022,arXiv:2203.07997,decoder-transformer,NYUD-v2,3-4,positive Δm (decoder cross-task),yes,no,Med — decoder-per-task on shared encoder; dense-task regime,no
MQTransformer,2022,—,decoder-transformer,NYUD-v2,3-4,"competitive, no clean Δm",yes,no,Low-Med,no
TaskPrompter,ICLR 2023,arXiv:2304.13886,decoder-transformer/prompt,NYUD-v2/PASCAL,3-5,+4.49% Δm NYUD; +2.09% PASCAL,yes,no,Med — task prompts in shared encoder,no
DeMT / MTFormer,AAAI 2023,—,decoder-transformer,NYUD-v2,3-4,~InvPT at lower cost,yes,no,Low-Med,no
MLoRE,CVPR 2024,arXiv:2403.17749,MoE low-rank experts,NYUD-v2/PASCAL,3-5,beats TaskExpert on all 4 NYUD tasks,yes,no,HIGH — low-rank experts add head capacity at flat param cost,no
TaskExpert,ICCV 2023,arXiv:2307.15324,MoE decoder,NYUD-v2,3-4,Semseg55.35/Depth0.5157/Norm18.54,yes,partial,Med,no
TaskDiffusion,2024,—,diffusion decoder,NYUD-v2,3-4,"competitive, iterative sampling cost",no,no,Low — iterative sampling breaks single-pass latency,no
MTMamba++,TPAMI 2025,arXiv:2408.15101,SSM cross-task decoder,NYUD-v2/PASCAL,3-4,"+4.82% Δm, BEATS ST on ALL 4 tasks",yes,no,HIGH — explicit cheap cross-task exchange vs pure trunk competition,no
MTMamba,ECCV 2024,arXiv:2407.02228,SSM cross-task decoder,NYUD-v2,3-4,+2.63-4.82% Δm,yes,no,HIGH,no
PAMM,2025,arXiv:2511.14503,SSM param-aware decoder,NYUD-v2/PASCAL,3-5,higher Δg than prior,yes,no,Med,no
M3ViT,NeurIPS 2022,arXiv:2210.14793,MoE / task-gating,NYUD-v2/PASCAL,3-5,-6.27%->+1.59% Δm NYUD; +2.71% PASCAL,near,no,HIGH — MoE converts NEGATIVE->POSITIVE transfer; on-point for Kendall-collapse,no
